,datetime,post,retweets,favorites
0,2021-10-06 23:59:35,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
1,2021-10-06 23:58:50,"80k+ members
Do join=&gt; 
 one of the largest stocks and options trading communities with real traders providing anal… https://t.co/IJvxXaE3HT",0,0
2,2021-10-06 23:58:40,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002",376,0
3,2021-10-06 23:58:37,"If you’re interested in day trading Stock and Option, You can check this chatroom&gt; 

$KNDI $MICT $INO $AAPL $SRNE… https://t.co/AYlyaH0TKo",0,0
4,2021-10-06 23:58:37,"Thank you for watching COULD THIS BE... A TRIANGLE!?

Awesome chart requests from $AMZN to $ROKU!!! In case you mis… https://t.co/atXpjs94Y4",0,1
5,2021-10-06 23:57:57,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
6,2021-10-06 23:57:55,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
7,2021-10-06 23:57:50,"RT @Duckingmoney: Feeling like we get an $AMZN 100 pt+ day tomorrow... just me..? 

3300, 3319, 3363 levels we need to clear.",1,0
8,2021-10-06 23:57:17,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
9,2021-10-06 23:56:53,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
10,2021-10-06 23:56:49,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
11,2021-10-06 23:56:15,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…",1719,0
